sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys standing at a white wooden fence.,humility,none,none,none,young,gets yelled at,none,none,scared,to walk to the fence
the first boy is smiling at the second and gesturing with his hand.,humility,none,none,to smile back,friendly,gets a kiss,to be noticed,none,happy,to make them laugh
he has a helmet hanging in the other.,humility,none,none,none,safe,gets hit by bike,to protect his head,to have a helmet,safe,to wear the helmet
the second boy is frowning at the first.,humility,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
in front of them a woman is leading a spotted horse.,humility,none,none,none,brave,gets yelled at,to be in front of the people,to be in front of the horse,happy,to get a horse
"a girl is riding the spotted horse , they are both smiling.",humility,none,none,none,happy,none,none,none,happy,to have fun
they are at a farm.,humility,none,none,none,adventurous,gets dirty,to have a farm,to drive to the farm,happy,to buy a farm
the boy s arm is wrapped around the white fence.,humility,none,none,none,careless,gets hurt,none,none,nervous,to run away
there is someone riding another horse in the back.,humility,none,none,none,athletic,gets hurt,to have fun,to get on the horse,happy,to ride the horse
the other boy has his hands on the fence.,humility,none,none,none,careless,gets yelled at,to be safe,none,happy,to run away
