sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is holding sticks.,assistiveness,none,none,none,playful,none,to play,none,happy,to play with the sticks
the man in the back has green gloves on.,assistiveness,none,none,none,cold,none,to be warm,to put them on,warm,to keep warm
the man is wearing a green hat.,assistiveness,none,none,none,fashionable,gets a tan,to be warm,none,happy,to put the hat on
the boy is wearing a red shirt.,assistiveness,none,none,none,dirty,gets dirty,to be warm,to put on the shirt,attractive,to go out
they are working in a garden.,assistiveness,none,none,none,responsible,gets dirty,to grow food,to get a shovel,proud,to plant flowers
"there is a boy , his father , and his mother.",assistiveness,none,none,none,young,none,none,none,happy,to grow up
the boy has a garbage bag full of twigs in one hand and in the other a.,assistiveness,none,none,none,careless,none,none,none,guilty,to throw away the garbage
behind him his father is pulling on a pair of green gloves.,assistiveness,none,none,none,careful,gets dirty,to be warm,to go to the store,happy,to put the gloves on
the father is standing behind a red lawn mower.,assistiveness,none,none,none,sneaky,gets exercise,none,to walk to the lawn mower,happy,to get a tan
the mother is on her hands and.,assistiveness,none,none,none,caring,none,to be a good mother,none,happy,to be a good mother
knees.,assistiveness,none,none,none,determined,none,to be a good friend,none,happy,to get a drink
she is wearing pink gloves.,assistiveness,none,none,none,fashionable,gets cold,to protect his skin,to put on gloves,warm,to go outside
she is looking up at the father and smiling.,assistiveness,none,none,to smile,happy,none,none,none,happy,to say hello
