sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are three boys and one girl.,cooperation,none,none,none,young,none,none,none,happy,to have a party
they are all sitting around a table.,cooperation,none,none,none,engaged,gets tired,to eat,to be at a table,happy,to eat
the first boy standing in front of the table is holding open a notebook with the word.,cooperation,none,none,none,polite,none,to be polite,to be a teacher,good,to read the book
he is pointing to one of the boxes in the notebook.,cooperation,none,none,none,curious,none,to show off,to be in the wrong box,satisfied,to read the book
the boy is frowning and looking at the second.,cooperation,none,none,none,pensive,none,to be sure,none,annoyed,to get away from the boy
the second boy is gesturing at the first.,cooperation,none,none,to listen to personx,rude,none,to be noticed,none,happy,to get the boy 's attention
he is frowning.,cooperation,none,none,none,annoyed,none,none,none,annoyed,to look at something else
in front of the boy is an open notebook with doodles all over it and strewn pencils.,cooperation,none,none,none,careless,none,none,none,silly,to be a teacher
the girl is sitting in the middle of the boys.,cooperation,none,none,to talk to personx,outgoing,gets yelled at,to be alone,to be in the middle of the room,happy,to get up
the girl has a pencil in her hand.,cooperation,none,none,none,studious,none,to write,none,smart,to write down notes
there is a notebook in front of the girl.,cooperation,none,none,to ask personx questions,confident,none,none,none,happy,to write
the girl is looking at the boy that is pointing.,cooperation,none,none,to talk to personx,curious,gets a kiss,to be noticed,none,happy,to talk to the boy
there is someone sitting across the table.,cooperation,none,none,none,social,none,to eat,none,happy,to eat
