sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are in the living room.,self-care,none,none,none,comfortable,none,to be in the room,to walk to the living room,relaxed,to sit down
there is a grandfather clock in the living room.,self-care,none,none,none,old,none,none,none,happy,to watch tv
the boy is standing near the corner.,self-care,none,none,none,curious,none,to be near the boy,none,happy,to get up
the boy is looking at the grandmother.,self-care,none,none,none,curious,none,to see the grandmother,none,happy,to ask grandmother questions
the boy has both hands to the side.,self-care,none,none,none,careless,gets hurt,none,none,happy,to be a good son
the grandmother is sitting on the sofa.,self-care,none,none,none,tired,none,to rest,to walk to the sofa,happy,to get up
the boy is frowning.,self-care,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the grandmother is sitting on the sofa.,self-care,none,none,none,tired,none,to rest,to walk to the sofa,happy,to get up
the boy has his arms out.,self-care,none,none,none,needy,gets hurt,to be helpful,none,happy,to get a drink
the boy and his grandmother are in the living.,self-care,none,none,none,caring,none,none,none,happy,to go to the movies
