sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they are having a history quiz bowl.,cooperation,none,none,none,nervous,gets nervous,none,to prepare for the quiz,nervous,to win
there are two teams.,cooperation,none,none,none,competitive,none,none,none,competitive,to win
there are team a and team b on each table.,cooperation,none,none,to win the game,competitive,none,to be competitive,to be a team player,competitive,to win the game
the teacher is standing between the two tables.,cooperation,none,none,none,rude,gets yelled at,to be in charge,to walk to the tables,happy,to teach
the teacher is looking at team a.,cooperation,none,none,to get a good grade,interested,none,to be a good teacher,to be a teacher,happy,to teach them
the kids on team a is frowning.,cooperation,none,none,to play with personx,mean,none,none,none,annoyed,to be a good sport
the boy in the blue shirt is looking at the girl.,cooperation,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to ask her out
the boy in the blue shirt is frowning.,cooperation,none,none,none,mean,none,none,none,annoyed,to get away from the boy
the girl is looking at the other boy.,cooperation,none,none,to talk to personx,curious,gets a kiss,to be noticed,none,happy,to talk to the boy
the girl is frowning.,cooperation,none,none,none,annoyed,none,none,none,annoyed,to get away from the girl
the girl has her hands on the table.,cooperation,none,none,none,greedy,gets yelled at,to be a good host,none,happy,to eat
the boy in the green jacket is looking at the girl.,cooperation,none,none,none,curious,gets a kiss,to be noticed,none,happy,to talk to the girl
the boy in the green jacket is frowning.,cooperation,none,none,none,mean,none,none,none,annoyed,to get away from the boy
the boy in the green jacket chair is turned the girl way.,cooperation,none,none,to listen to personx,curious,gets hurt,none,to be in the same room as the girl,happy,to get up
the team is jumping in the air.,cooperation,none,none,none,excited,gets exercise,to jump,to be in a game,excited,to jump
the other kids have their hands in the air.,cooperation,none,none,none,playful,gets caught,to play,none,happy,to play
