sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boys are at a birthday party.,respect,none,happy,to have fun,social,gets presents,to have fun,to buy presents,happy,to have fun
there are gifts on the table.,respect,none,none,none,generous,none,none,none,happy,to give them to someone
there are floating balloons.,respect,none,none,none,playful,gets wet,none,none,happy,to have fun
the boy in green is frowning.,respect,none,none,none,annoyed,none,none,none,sad,to get away from the boy
he is standing in front of a.,respect,none,none,none,bold,none,to be noticed,none,happy,to get a promotion
boy in a black jacket.,respect,none,none,none,cold,none,to be warm,none,cold,to go outside
the boy in the green has a party hat on his head.,respect,none,none,none,silly,gets dirty,to be a good host,to buy a hat,happy,to have fun
he is looking at the boy and holding out his hand.,respect,none,none,to say hello,friendly,gets sweaty,to shake hands,none,happy,to shake hands
the boy in the black has his hands in his pockets.,respect,none,none,none,sneaky,gets caught,to hide something,none,nervous,to hide
the boy is frowning.,respect,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
