sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the kids are on a field.,humility,none,none,none,active,none,to play,to go to the field,happy,to play
the boy in black shorts is holding a ball.,humility,none,none,none,playful,gets hit,to play,to be playing,happy,to play with the ball
all if the friends are frowning.,humility,none,none,none,mean,none,none,none,annoyed,to be forgiven
there is one girl in the group.,humility,none,none,none,outgoing,none,none,none,happy,to go to the prom
the boy in the green shirt has his hand on his hip.,humility,none,none,none,curious,none,to be noticed,none,happy,to get a ride
he is gesturing to the girl and saying something.,humility,none,none,to listen to personx,friendly,gets yelled at,to be noticed,none,happy,to get her attention
he is frowning.,humility,none,none,none,annoyed,none,none,none,annoyed,to look at something else
the girl has both hands on her hips.,humility,none,none,none,playful,gets yelled at,to dance,none,happy,to dance
she is looking at the boy.,humility,none,none,none,curious,none,to be noticed,none,happy,to talk to the boy
she has an eyebrow raised.,humility,none,none,none,curious,none,none,none,curious,to look away
