sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys.,assistiveness,none,none,none,young,none,none,none,happy,to grow up
they are about to go camping.,assistiveness,none,none,none,adventurous,gets sunburned,to have fun,to pack up their stuff,happy,to have fun
they are in a shed.,assistiveness,none,none,none,curious,gets dirty,none,to walk to the shed,happy,to get out of the shed
the first boy is grabbing a pair of lifejackets.,assistiveness,none,none,none,prepared,gets sweaty,to go swimming,to go to the store,excited,to go to the beach
the second boy is carrying.,assistiveness,none,none,none,responsible,none,none,none,happy,to take the boy to the doctor
a sleeping bag and a tool box to the car.,assistiveness,none,none,none,lazy,none,to be lazy,to go to the car,happy,to get out of the car
there is a sign behind the boy that says do nt forget.,assistiveness,none,none,none,observant,none,none,none,happy,to be correct
there are boxes on the counter.,assistiveness,none,none,none,careless,none,none,none,sad,to clean up
there is a water bottle on the counter.,assistiveness,none,none,none,thirsty,none,none,none,happy,to drink water
the first boy has a water bottle in his hand.,assistiveness,none,none,none,thirsty,none,to have a drink,to have a bottle,happy,to drink the water
there is a fishing pole behind the other boy.,assistiveness,none,none,none,playful,none,none,none,happy,to catch a fish
the first kid is has a box on top of the sleeping bag.,assistiveness,none,none,none,careless,gets yelled at,none,to be sleeping bag,happy,to get a new one
there is a kayak tied down to the top of the car.,assistiveness,none,none,none,careless,gets hurt,none,to get a kayak,happy,to get off the boat
the first boy is looking behind his shoulder.,assistiveness,none,none,none,scared,gets scared,to see who is behind them,none,scared,to find out what it is
