sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the kids are standing in the hallway.,cleanliness,none,none,none,patient,none,none,to walk to the hallway,happy,to tell them something
the boy in the red is standing by the trash can.,cleanliness,none,none,none,scared,gets dirty,none,none,sad,to get out of the trash
the boy in the red is looking back at the other kids.,cleanliness,none,none,to talk to personx,curious,none,to be a good parent,none,happy,to talk to them
the boy in the red is throwing his cup away.,cleanliness,none,none,none,careless,none,to be a good person,to pick up the cup,sad,to clean up the mess
the girl is looking at the boy in the blue.,cleanliness,none,none,to smile,curious,smiles,to be noticed,none,happy,to flirt
the girl is grinning.,cleanliness,none,none,to smile,happy,none,none,none,happy,to tell everyone about it
the girl has her hand out.,cleanliness,none,none,to get away,needy,gets yelled at,to be generous,none,guilty,to get a ride
the girl is holding a purse.,cleanliness,none,none,none,careful,none,to be prepared,none,happy,to go to the store
the boy in the blue is holding the door.,cleanliness,none,none,none,helpful,gets yelled at,to be polite,to walk up to the door,helpful,to let the boy in
the boy in the blue is looking at the girl.,cleanliness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to ask her out
