sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they are at a play.,assistiveness,none,none,none,playful,gets tired,to have fun,to go to the theatre,happy,to have fun
the boy is looking back at the mom.,assistiveness,none,none,to talk to personx,curious,none,to be respectful,none,curious,to talk to the mom
the boy grabs the mom s shoulder.,assistiveness,cries,scared,to scream,aggressive,gets yelled at,to be forceful,to be near the mom,angry,to run away
the mom is walking up the stairway.,assistiveness,none,none,none,brave,gets sweaty,to get to the top,to get up,tired,to get out of the house
there is a sign by the stairway.,assistiveness,none,none,none,curious,none,none,none,happy,to be recognized
the stairway is closed.,assistiveness,none,none,none,cautious,none,none,none,sad,to go to the bathroom
there are people in the background.,assistiveness,none,none,none,present,none,none,none,happy,to be noticed
the boy is smiling.,assistiveness,none,none,none,friendly,none,none,none,happy,to smile
the boy other hand is pointing towards the crowd.,assistiveness,none,none,none,curious,none,to be noticed,none,happy,to get attention
there is a yellow book in the seating area.,assistiveness,none,none,none,curious,none,none,none,happy,to read
the girl is walking up the stairs.,assistiveness,none,none,none,athletic,gets exercise,to get to the top,to be walking,happy,to go to bed
the boy is smiling at the girl.,assistiveness,none,happy,to smile back,friendly,gets a kiss,none,none,happy,to say hello
the girl is looking down at her book.,assistiveness,none,none,none,curious,none,to read,none,interested,to read
the carpet is red.,assistiveness,none,none,none,dirty,none,none,none,embarrassed,to clean up
