sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy and a girl.,humility,none,none,none,young,none,none,none,happy,to have a baby
they are at a party.,humility,none,none,none,social,gets drunk,to have fun,to get dressed,happy,to have fun
there are balloons and people behind them.,humility,none,none,none,fun,none,none,none,happy,to have fun
in front of them is a table covered in plates of assorted cookies.,humility,none,none,none,hungry,gets dirty,none,to be hungry,full,to eat
the boy is reaching out towards the plate of vanilla cookies.,humility,none,none,none,greedy,gets a sugar rush,to eat cookies,to be hungry,hungry,to eat the cookies
in his other hand he has a plate already piled high with chocolate cookies.,humility,none,none,none,greedy,gets fat,none,to bake cookies,full,to eat
he is looking back at the girl his mouth open.,humility,none,none,none,curious,gets slapped,to be noticed,none,curious,to kiss her
the girl is looking at him.,humility,none,none,none,curious,none,to be noticed,none,happy,to flirt
her hand is on her hip.,humility,none,none,none,curious,none,to be intimate,none,nervous,to dance
there are napkins on the table.,humility,none,none,none,careless,none,none,none,indifferent,to clean up
the girl has a plate of cookies in her hand.,humility,none,none,none,hungry,gets dirty,to eat cookies,to buy cookies,happy,to eat cookies
