sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy he is standing in front of a fence.,friendliness,none,none,none,young,gets sweaty,none,none,nervous,to get out of the fence
behind the fence is a llama with it s neck outstretched to the boy.,friendliness,none,none,none,curious,none,to be a good person,none,happy,to get a drink
the boy is smiling.,friendliness,none,none,none,friendly,none,none,none,happy,to smile
in one hand the boy is holding a handful of baby carrots away from the llama.,friendliness,none,none,none,caring,gets yelled at,to be a good parent,to be holding the baby,happy,to play with the baby
a short distance away another boy is watching them.,friendliness,none,none,none,curious,none,to be alone,none,happy,to talk to them
the boy is frowning.,friendliness,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the llama is staring at the boy.,friendliness,none,none,none,curious,gets a kiss,to be noticed,none,interested,to talk to the boy
the boy in the back is leaning against the fence.,friendliness,none,none,none,curious,gets yelled at,to be alone,to walk to the fence,happy,to get out of the way
there are people standing on the other side of the fence.,friendliness,none,none,none,curious,none,none,none,happy,to walk over to them
they are at the fence.,friendliness,none,none,none,brave,gets yelled at,to be safe,to walk to the fence,nervous,to get to the fence
