sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are kids on a school bus.,politeness,none,none,none,young,none,none,to buy a bus ticket,happy,to go to school
the boys in the back are smiling at each other the kids are staring at the two.,politeness,none,none,none,curious,none,none,none,happy,to laugh
the other boy is sitting in the seat.,politeness,none,none,none,bored,none,to be in the seat,none,happy,to get up
the other boy is looking at the boy.,politeness,none,none,to talk to personx,curious,none,to be noticed,none,curious,to talk to the boy
the boy is looking at the other boy.,politeness,none,none,to talk to personx,curious,none,to be noticed,none,curious,to talk to the boy
the boy is trying to sit next to the other boy.,politeness,none,none,to be left alone,friendly,gets nervous,to be close to the boy,to be near the boy,happy,to get up
the kids are on the school bus.,politeness,none,none,none,young,none,to be on time,to buy a bus ticket,happy,to go to school
the boy with the glasses is frowning.,politeness,none,none,none,annoyed,none,none,none,annoyed,to get a better look
the boy in red is next the.,politeness,none,none,none,brave,none,none,none,happy,to get a drink
boy in glasses.,politeness,none,none,none,blind,none,to be able to see,to have glasses,happy,to see better
the boy in front of the boy in red is looking behind him.,politeness,none,none,none,curious,none,to see the boy,none,scared,to get a better look
the girl in the back is frowning.,politeness,none,none,none,mean,none,none,none,annoyed,to get away from the girl
