sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there s duck feet under the fence.,cleanliness,none,none,none,scared,none,none,none,scared,to run away
the.,cleanliness,none,none,none,determined,none,to be a good friend,none,happy,to get a drink
title says who s there.,cleanliness,none,none,none,social,none,to be heard,none,happy,to get a response
there are sheep feet under the fence.,cleanliness,none,none,none,careless,none,none,none,scared,to get away
the animals are in a barn.,cleanliness,none,none,none,caring,none,none,to go to the barn,happy,to feed the animals
the fence is brown.,cleanliness,none,none,none,dirty,none,none,none,sad,to get a new fence
there s pig feet under the fence.,cleanliness,none,none,none,careless,none,none,none,embarrassed,to get away from the pig
there s horse feet under the fence.,cleanliness,none,none,none,careless,none,none,none,scared,to get away
there s horse ears peeking over the fence.,cleanliness,none,none,none,curious,gets yelled at,none,none,silly,to get a better look
there s dog feet under the fence.,cleanliness,none,none,none,careless,none,none,none,happy,to get rid of the dog
