sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are three boys standing in front of a table.,assistiveness,none,none,none,young,none,none,none,happy,to play
on the table are small black containers with plants growing out of them.,assistiveness,none,none,none,small,none,none,none,happy,to eat
one of the containers is laying on it s side and dirt is spilling out.,assistiveness,none,none,none,careless,none,none,none,sad,to clean up the mess
the first boy is holding up a soda bottle for the others to see.,assistiveness,none,none,to thank personx,helpful,gets yelled at,to be helpful,to grab the bottle,happy,to give the bottle back
inside the bottle is a few layers of soil and a plant growing out the top.,assistiveness,none,none,none,careless,none,none,none,happy,to grow a garden
all the boys are smiling.,assistiveness,none,none,none,friendly,none,none,none,happy,to be happy
the boy in the red and grey shirt is holding the bottle together.,assistiveness,none,none,none,helpful,none,to be helpful,to grab the bottle,happy,to drink the bottle
the boys are outside in the yard.,assistiveness,none,none,none,active,none,to play,to go outside,happy,to play
the boy in the yellow mustard shirt has his hand on his hips.,assistiveness,none,none,none,playful,gets slapped,to dance,none,happy,to dance
the black small containers are sitting on top of the newspaper.,assistiveness,none,none,none,lazy,none,none,none,happy,to read the paper
