sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the friends.,self-care,none,none,to have fun,friendly,none,to be social,to have friends,happy,to have fun
are smiling.,self-care,none,none,none,happy,none,none,none,happy,to smile
the friends.,self-care,none,none,to have fun,friendly,none,to be social,to have friends,happy,to have fun
are facing the mountain.,self-care,none,none,none,brave,gets sweaty,to be brave,to climb up the mountain,happy,to get a drink
the mountain has snow on it.,self-care,none,none,none,playful,gets cold,none,none,cold,to go inside
the friends are on a bridge facing the mountain.,self-care,none,none,none,brave,none,to be in the open,to go to the bridge,happy,to go to the top
the friends are hiking.,self-care,none,none,none,adventurous,gets exercise,to have fun,to pack a backpack,happy,to rest
there are two boys.,self-care,none,none,none,young,none,none,none,happy,to grow up
they are both standing on the edge of a bridge overlooking trees and a misty mountain.,self-care,none,none,none,adventurous,none,none,none,happy,to look down
both boys are wearing backpacks and holding sticks.,self-care,none,none,none,mean,gets yelled at,to be safe,to be wearing a backpack,happy,to get out of the way
the first boy has his hand on his hip.,self-care,none,none,none,playful,gets slapped,to be noticed,none,nervous,to get a massage
