sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy.,cleanliness,none,none,none,young,none,none,none,happy,to grow up
he is laying on his bed with a book open on the pillow.,cleanliness,none,none,none,curious,none,none,to be reading,sleepy,to read
a black sweater is on the bed under his leg.,cleanliness,none,none,none,cold,none,to be warm,to be in bed,comfortable,to get up
there are checker pieces strewn across the floor.,cleanliness,none,none,none,careless,gets dirty,none,none,sad,to clean up
there s also a bag of chips on the floor and shoes.,cleanliness,none,none,none,careless,none,none,none,happy,to get a drink
the boy is calling out something.,cleanliness,none,none,none,loud,gets yelled at,to get his attention,none,curious,to get his attention
there are items sitting on the boy s window sill.,cleanliness,none,none,none,careless,none,none,none,happy,to get out of the window
there is a red sweater hanging on the boy s bed rail.,cleanliness,none,none,none,helpful,none,to be a red sweater,to go to the room,happy,to wear the sweater
there are a pair of shoes near the boy s bed.,cleanliness,none,none,none,playful,none,none,to be walking,happy,to go to the boy 's room
there are books on the floor.,cleanliness,none,none,none,studious,none,none,none,smart,to read
there is a checker board on the floor.,cleanliness,none,none,none,playful,none,none,none,happy,to win
