sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the sink is leaking.,attentiveness,none,none,none,clumsy,gets wet,none,none,sad,to clean up
they re in a bathroom.,attentiveness,none,none,none,clean,none,to wash his hands,to go to the bathroom,relieved,to wash their hands
the boys are wearing the same thing.,attentiveness,none,none,none,similar,none,none,none,happy,to go out
the boy with orange hair is smiling.,attentiveness,none,none,none,happy,none,none,none,happy,to smile
the boy with brown hair is frowning.,attentiveness,none,none,none,mean,none,none,none,sad,to get a haircut
they are standing in the bathroom.,attentiveness,none,none,none,nervous,none,to wash his hands,to walk to the bathroom,relieved,to wash their hands
the boy with the brown hair is holding a book and a pencil.,attentiveness,none,none,none,studious,none,to read,none,smart,to read
the book is red.,attentiveness,none,none,none,angry,none,none,none,happy,to read
the boy with the orange hair is wearing a dark blue bookbag.,attentiveness,none,none,none,secretive,none,to be a chameleon,none,happy,to go to the store
they are wearing the same outfit.,attentiveness,none,none,none,stylish,looks good,to look good,to put on the same outfit,happy,to go out
