sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys and a girl.,cleanliness,none,none,none,young,none,none,none,happy,to have a baby
they are walking together and eating popsicles.,cleanliness,none,none,none,hungry,gets sick,to eat,to buy ice cream,satisfied,to eat some ice cream
the first boy is throwing away his popsicle sticks into the trash as they are walking by.,cleanliness,none,none,none,careless,gets dirty,to be clean,none,satisfied,to clean up the mess
the boy is looking at the other two kids.,cleanliness,none,none,to talk to personx,curious,none,to be a good parent,none,happy,to talk to them
the boy is smiling at them.,cleanliness,none,happy,none,friendly,none,none,none,happy,to smile
the boy has a backpack on his back.,cleanliness,none,none,none,prepared,gets dirty,to be prepared,to put on their backpack,prepared,to go to school
there are standing in front of an ice cream stand.,cleanliness,none,none,none,eager,gets cold,to eat ice cream,to go to the ice cream stand,happy,to buy ice cream
the boy in the green has on a backpack.,cleanliness,none,none,none,prepared,none,to be safe,to go to the woods,happy,to go to school
the girl s popsicle is orange.,cleanliness,none,none,none,playful,gets dirty,none,none,happy,to eat
the boy in the green popsicle is pink.,cleanliness,none,none,none,playful,none,none,none,happy,to eat the apple
the boy is standing next to a trash bin.,cleanliness,none,none,none,scared,gets dirty,none,none,sad,to get out of the trash
