sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they are in the library.,respect,none,none,none,studious,none,to learn,to go to the library,bored,to read
the girl in the pink shirt is grinning.,respect,none,none,to smile,happy,none,none,none,happy,to tell everyone about it
the girl in the pink is looking at the boy in the green.,respect,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the girl in the pink has her hand in the air.,respect,none,none,none,playful,gets hit,to play a game,none,happy,to play with the girl
the boy in the green is looking at her.,respect,none,none,none,curious,none,to see her,none,happy,to talk to her
the boy is grinning at the girl in the pink.,respect,none,happy,to smile,happy,none,none,none,happy,to say hello
the boy is throwing paper at the girl.,respect,cries,sad,to cry,mean,gets punched,to be mean,to be playing,happy,to run away
there is a table of kids behind them.,respect,none,none,none,friendly,none,none,none,happy,to be a good host
the kids at the other table are frowning.,respect,none,none,to eat,mean,none,none,none,annoyed,to eat
the kids at the other table are looking at the first table.,respect,none,none,to eat,curious,gets yelled at,to be noticed,to be at the table,happy,to eat
"there are books , paper , and pens on the table.",respect,none,none,none,smart,none,to be a good reader,none,smart,to read
the school group is in the theater.,respect,none,none,none,outgoing,none,to be entertained,to buy tickets,happy,to learn
