sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are three boys and one girl.,politeness,none,none,none,young,none,none,none,happy,to have a party
they are sitting around a board game.,politeness,none,none,none,bored,gets tired,to have fun,to have a game,happy,to win
the first boy is laughing and pointing at the second.,politeness,none,none,to laugh,playful,gets yelled at,to be funny,none,happy,to tell them something funny
the third boy has his arms crossed and is looking down at the board.,politeness,none,none,none,mean,none,to be in control,none,annoyed,to get away from the board
the girl is looking at the first boy.,politeness,none,none,to talk to personx,curious,gets a kiss,to be noticed,none,happy,to talk to the boy
the girl is frowning.,politeness,none,none,none,annoyed,none,none,none,annoyed,to get away from the girl
there is sitting in a chair.,politeness,none,none,none,relaxed,gets tired,to rest,to walk to the chair,relaxed,to get up
the boy is frowning at the boy in the green.,politeness,none,none,none,annoyed,none,none,none,annoyed,to say something
the boy in the purple is looking down.,politeness,none,none,none,curious,none,to be in control,none,sad,to run away
the boy in the purple is crossing his arms.,politeness,none,none,none,mean,none,to be a hero,none,happy,to run away
