sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys.,friendliness,none,none,none,young,none,none,none,happy,to grow up
the first boy is sitting on a yellow coach.,friendliness,none,none,none,young,gets yelled at,to be on the team,to walk to the coach,happy,to get up
he is looking at the second boy and frowning.,friendliness,none,none,none,curious,none,none,none,annoyed,to tell them something
he is saying something to the second boy and gesturing at something.,friendliness,none,none,to listen,rude,gets yelled at,to be heard,to be talking to the boy,happy,to get their attention
with his hand.,friendliness,none,none,none,caring,none,to be intimate,none,happy,to get a massage
the second boy has a red and blue airplane in his hand.,friendliness,none,none,none,excited,gets dirty,to be a good son,to buy a ticket,happy,to fly it
his head is down and he is frowning and looking at the first boy.,friendliness,none,none,none,mean,none,to be alone,none,sad,to get away from the boy
the boy sitting on the yellow couch has a black book in his hand.,friendliness,none,none,none,studious,none,to read,none,happy,to read
they are two men standing in the back.,friendliness,none,none,none,young,none,none,none,happy,to get out of the way
the two men seem to be talking to each other.,friendliness,none,none,none,friendly,none,to be heard,none,happy,to get to know them
the boy has a pen in his hand.,friendliness,none,none,none,prepared,none,to write,none,happy,to write something down
