sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they re in the art class.,patience,none,none,none,artistic,learns something,to learn,to attend the class,proud,to learn
the model is holding a guitar.,patience,none,none,none,musical,gets paid,to play guitar,to buy a guitar,proud,to play the guitar
the teacher is standing over the student.,patience,none,none,to listen to personx,commanding,none,to teach,to be a teacher,satisfied,to teach
the teacher looks at the student s artwork.,patience,none,none,none,curious,none,to see if they like it,to be a teacher,interested,to ask questions
the teacher s hand gesture shows guidance.,patience,none,none,to listen to personx,helpful,none,to teach,none,helpful,to teach
there are art frames in the background.,patience,none,none,none,artistic,none,none,none,happy,to paint
the boy on stage is holding a guitar.,patience,none,none,none,musical,gets applauded,to be a musician,to buy a guitar,happy,to play the guitar
the students are in art class.,patience,none,none,none,creative,gets a good grade,to learn,to go to class,proud,to draw
the boy in the green shirt is standing up.,patience,none,none,none,curious,gets dirty,to be noticed,none,happy,to go home
there is a drawing of the boy on stage.,patience,none,none,to listen to personx,artistic,none,to be noticed,to be a teacher,happy,to draw a picture
