sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they are leaving the car.,courtesy,none,none,none,rushed,none,to go somewhere else,to get in the car,tired,to go to the store
the mom is looking at the boy.,courtesy,none,none,to smile,curious,none,to see the boy,none,happy,to talk to the boy
the mom has groceries in her bag.,courtesy,none,none,none,prepared,none,to eat,to go to the store,prepared,to eat
the mom is frowning.,courtesy,none,none,none,annoyed,none,none,none,annoyed,to get a drink
the boy slammed the car door.,courtesy,none,none,none,angry,gets yelled at,none,to be angry,upset,to get away from the scene
the boy is walking away.,courtesy,none,none,none,scared,none,to be alone,none,happy,to go home
the boy is frowning.,courtesy,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the mother is getting out the car.,courtesy,none,none,none,helpful,gets dirty,to go to the store,to open the car door,happy,to go to the store
the mother is carrying food.,courtesy,none,none,none,caring,gets dirty,to eat,to get food,happy,to eat
the boy is frowning.,courtesy,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the is carrying his backpack.,courtesy,none,none,none,responsible,gets tired,to be prepared,to have a backpack,prepared,to go to school
