sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are four images surrounding the title that reads goofus and gallant.,,none,none,none,smart,none,none,none,happy,to be a hero
in the picture to the top left it shows a boy.,,none,none,none,curious,none,none,none,happy,to show the boy something
the boy is leaning up against a wall with a tennis racket in his hand.,,none,none,none,athletic,gets hit,to play tennis,none,happy,to play tennis
in the other hand he is holding a phone.,,none,none,none,careful,none,to call someone,none,happy,to talk to someone
below the picture it reads he s not here call back later.,,none,none,none,content,none,none,none,happy,to read it again
says goofus.,,none,none,none,silly,gets punched,to be annoying,none,silly,to apologize
in the next picture to the right it shows a boy on the phone.,,none,none,none,interested,none,none,to have a phone,happy,to show the boy something
he is standing at a table and has a pencil and notepad in hand.,,none,none,none,prepared,writes,to write,none,ready to write,to write down notes
there is also a soccer ball on the table.,,none,none,none,athletic,gets exercise,to be a team player,to be playing soccer,happy,to play soccer
below the picture it reads may i take a message.,,none,none,none,curious,none,to be informed,none,happy,to read
asks gallant.,,none,none,none,brave,none,to be heard,none,proud,to be respected
in the bottom right picture it shows two boys and two girls sitting at a table.,,none,none,none,playful,none,to be entertained,to be in a room,happy,to have a good time
one of the boys.,,none,none,none,helpful,none,to be a good son,none,happy,to be a good teacher
has a.,,none,none,none,smart,none,none,none,happy,to be successful
bread stick in his hand and is dipping it into one of the bowls sitting in the.,,none,none,none,hungry,none,to eat,to be hungry,satisfied,to eat
below the picture it reads goofus dips again after taking a bite.,,none,none,none,curious,none,to be a good reader,to be a good reader,satisfied,to read a book
in the picture to the left a boy is sitting in a booth with his mother and.,,none,none,none,social,none,to talk,to walk to the booth,happy,to talk to his mother
his mother and father are looking at the menu.,,none,none,none,curious,none,to know what they want,to have a menu,hungry,to order food
the boy is dipping a chip into the salsa.,,none,none,none,playful,gets dirty,to have fun,to go to the beach,happy,to eat the chip
under the picture it reads gallant dips only once.,,none,none,none,smart,none,to be a good listener,none,happy,to be a good reader
.,,none,none,none,determined,none,to be a good citizen,none,happy,to get a drink
under the comic there s a mini comic of a fish on a pink couch.,,none,none,none,comic,none,to entertain,to buy a comic,happy,to entertain
the fish is watching television and is watching the weather channel.,,none,none,none,lazy,none,to be informed,to turn on the tv,happy,to eat
the fish is frowning.,,none,none,none,annoyed,none,none,none,annoyed,to eat
beneath the picture it reads todays forecastwet.,,none,none,none,smart,none,to be informed,none,happy,to read more
beside the comic is a section that reads math magic by shannon castor.,,none,none,none,smart,none,none,none,happy,to be a magician
