sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the father is frowning at his son.,politeness,none,none,to cry,angry,none,none,none,annoyed,to scold him
the father is walking behind his son.,politeness,none,none,to go to the park,caring,none,to be with son,to be with son,happy,to get to the other side of the street
the son and the father are at a celebration.,politeness,none,none,none,social,none,to celebrate,to invite people,happy,to have fun
both the son and the father are standing up.,politeness,none,none,none,responsible,none,to be standing up,to be in the presence of the father,happy,to go to the bathroom
there are decorations behind the both of them.,politeness,none,none,none,playful,none,none,none,happy,to decorate the two
there is a boy and his father.,politeness,none,none,none,young,none,none,none,happy,to grow up
"behind them are red and white signs that read entrance , 5th annual , and.",politeness,none,none,none,smart,none,to be a good citizen,none,happy,to sign the entrance
behind the signs are carousels and a pink and white snack stand.,politeness,none,none,none,careless,none,to be a spectacle,none,happy,to get a snack stand
the father and the son are walking through the parking lot.,politeness,none,none,none,responsible,none,to go to the store,to get in the car,happy,to go to the store
the father is looking down at the boy and frowning.,politeness,none,none,none,curious,none,none,none,sad,to tell the boy to be quiet
the boy has his hands in his jacket pocket.,politeness,none,none,none,sneaky,gets caught,to hide something,none,warm,to hide
he is saying something to his father and frowning.,politeness,none,none,to listen to personx,mean,gets scolded,to be heard,none,upset,to get their attention
