sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy in the red shirt is sitting with his friends.,friendliness,none,none,to have fun,social,gets yelled at,to be with friends,to go to the red shirt,happy,to talk
the girl is smiling sitting down.,friendliness,none,none,none,friendly,none,to be polite,none,happy,to talk
there a white cat next to the boy with orange hair.,friendliness,none,none,none,friendly,gets scratched,none,none,happy,to play with the cat
there is a boy and a girl who is sitting with him.,friendliness,none,none,none,young,gets a kiss,to be with his friend,none,happy,to have a baby
they are playing a card game.,friendliness,none,none,none,playful,wins,to win,none,happy,to win
there are two boys and a girl sitting at a table.,friendliness,none,none,none,young,none,none,none,happy,to eat
they are playing a board game.,friendliness,none,none,none,playful,wins,to have fun,to have a board game,happy,to have fun
the first boy is looking down.,friendliness,none,none,none,curious,none,to be alone,none,nervous,to get a good grade
there is a grey and white cat rubbing against his chair.,friendliness,none,none,none,playful,gets scratched,none,none,happy,to get up
"the boy is looking at the cat and smiling ,.",friendliness,none,none,none,happy,none,none,none,happy,to pet the cat
