sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is sitting on a couch in the office.,courtesy,none,none,none,bored,none,to be alone,to walk to the office,bored,to read
the boy is frowning.,courtesy,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the boy is reading a book.,courtesy,none,none,none,intellectual,learns something,to learn,to open the book,smart,to learn
the boy s legs are crossed.,courtesy,none,none,none,relaxed,none,to be in control,none,relaxed,to get up
there is a lady at the desk.,courtesy,none,none,none,attractive,none,none,none,happy,to get a promotion
there are pictures of glasses everywhere.,courtesy,none,none,none,careless,gets yelled at,none,none,embarrassed,to put them on
the boy is sitting on a coach.,courtesy,none,none,none,young,gets yelled at,to be a good coach,to be in school,happy,to get up
the boy is looking at a book.,courtesy,none,none,none,curious,none,to learn,none,interested,to read
there are pictures of glasses in the waiting area.,courtesy,none,none,none,bored,none,none,none,happy,to get a new pair
the boy is smiling.,courtesy,none,none,none,friendly,none,none,none,happy,to smile
