sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy in the red shirt is touching clay.,friendliness,none,none,none,curious,gets dirty,to be close to clay,none,happy,to get away
the.,friendliness,none,none,none,determined,none,to be a good friend,none,happy,to get a drink
boy in the green is holding a bowl.,friendliness,none,none,none,hungry,none,to eat,to have a bowl,happy,to eat
"the boy in the green shirt is sitting down , there are tools on the table.",friendliness,none,none,none,bored,none,to be productive,none,happy,to get up
there is a cup of water on the table.,friendliness,none,none,none,thirsty,none,none,to pour water,satisfied,to drink
there are two boys.,friendliness,none,none,none,young,none,none,none,happy,to grow up
the first boy is sitting in front of a table covered in newspaper.,friendliness,none,none,none,curious,gets yelled at,none,to be in the wrong place,bored,to read the paper
"there is a cup of water , paper towels and little wooden molding tools on the table.",friendliness,none,none,none,lazy,none,to be helpful,none,satisfied,to clean up
he is molding clay into a bowl.,friendliness,none,none,none,skilled,none,to be a magician,none,happy,to make clay look like a bowl
the clay is misshaped.,friendliness,none,none,none,clumsy,none,none,none,sad,to get a better job
the boy behind him has a clay bowl in his hand and he is smiling.,friendliness,none,none,none,playful,none,to eat,none,happy,to eat
