sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a woman holding a baby.,respect,none,none,none,caring,gets a baby,to be a parent,to be pregnant,happy,to feed the baby
the babies pink pacifier has fallen out of her mouth.,respect,none,none,none,silly,none,none,to have a baby,happy,to clean up the mess
the baby is crying.,respect,none,none,none,emotional,gets comforted,none,none,sad,to stop crying
the boy standing beside her is looking at the baby.,respect,none,none,none,curious,none,to be a good parent,none,happy,to smile
his mouth is open and he has his hand on his head.,respect,none,none,none,rude,gets slapped,to be heard,none,embarrassed,to say something
the mother is frowning and looking at the boy.,respect,none,none,none,curious,none,none,none,annoyed,to scold the boy
they are standing by a red and white picnic table.,respect,none,none,none,happy,gets dirty,to eat,to walk to the picnic table,happy,to eat
there is a man across the table frowning and has his hands on his hips.,respect,none,none,none,arrogant,none,to be in control,none,nervous,to get away from the table
the lady is sitting down looking at them from across the table.,respect,none,none,none,curious,none,to be alone,none,happy,to talk to them
there are in a park.,respect,none,none,none,relaxed,gets exercise,to have fun,to go to the park,happy,to go to the park
they are surrounded by trees.,respect,none,none,none,isolated,gets hurt,none,none,happy,to get out of the woods
there are picnic tables around the park.,respect,none,none,none,relaxed,gets exercise,to have fun,to go to the park,happy,to enjoy the outdoors
there are glass plates and cups on the table.,respect,none,none,none,careless,none,none,none,full,to clean up
the baby is crying.,respect,none,none,none,emotional,gets comforted,none,none,sad,to stop crying
the baby is waving her arms.,respect,none,none,none,playful,gets yelled at,to play,none,happy,to play
the baby has one tooth in her mouth.,respect,none,none,none,sick,gets a tooth pulled,none,none,sick,to clean up the tooth
the baby its mouth wide opened.,respect,none,none,none,aggressive,gets bitten,to be loud,none,scared,to eat
