sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy he is standing at a table.,cleanliness,none,none,none,young,gets dirty,to eat,none,happy,to eat
there is a bookbag on the bed.,cleanliness,none,none,none,lazy,none,to be a bookbag,none,happy,to read
inside the bookbag is an orange shirt.,cleanliness,none,none,none,careless,none,none,none,happy,to wear the shirt
the boy is also putting toothpaste and a toothbrush into the bookbag.,cleanliness,none,none,none,careful,none,to be prepared,to get the book,satisfied,to clean up
beside the bed is a dresser with a notebook labeled liam s journal.,cleanliness,none,none,none,studious,none,to write,to have a journal,happy,to write a journal
the boy is smiling.,cleanliness,none,none,none,friendly,none,none,none,happy,to smile
there is a bookshelf behind the boy.,cleanliness,none,none,none,intellectual,none,none,none,happy,to read
there are some people standing in the hallway.,cleanliness,none,none,none,curious,none,none,none,nervous,to say hello
they seem to be talking to each other.,cleanliness,none,none,none,friendly,none,to communicate,none,happy,to ask questions
the journal has a green ribbon hanging out.,cleanliness,none,none,none,creative,none,to be a good citizen,none,proud,to display the ribbon
