sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they are in the grocery store.,politeness,none,none,none,hungry,none,to buy food,to go to the store,hungry,to buy groceries
the dad is holding a grocery bag.,politeness,none,none,none,responsible,gets dirty,to be responsible,to go to the store,tired,to put the groceries away
the dad is looking at the kids.,politeness,none,none,none,caring,none,to be a good dad,none,happy,to talk to the kids
the dad is frowning.,politeness,none,none,none,annoyed,none,none,none,upset,to get a drink
the boy is reading a book.,politeness,none,none,none,intellectual,learns something,to learn,to open the book,smart,to learn
the boy bumps into the girl.,politeness,none,surprised,to say hello,friendly,gets a kiss,none,none,surprised,to say hello
the boys look at the girl.,politeness,none,none,none,curious,none,to be noticed,none,happy,to flirt
the girl is leaning over.,politeness,none,none,none,curious,gets yelled at,to be heard,none,happy,to kiss her
the bag in the girl s hand almost falls.,politeness,none,none,to run away,careless,none,none,none,sad,to run away
the girl is looking at the boy.,politeness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the girl is frowning.,politeness,none,none,none,annoyed,none,none,none,annoyed,to get away from the girl
