sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys standing next to a statue.,attentiveness,none,none,none,young,none,none,none,happy,to get up
the boy is touching the statue.,attentiveness,none,none,none,curious,gets yelled at,to be respectful,none,happy,to show respect
the boy is smiling.,attentiveness,none,none,none,friendly,none,none,none,happy,to smile
the statue says do not touch.,attentiveness,none,none,none,careful,none,to be alone,none,good,to be alone
the statue is a polar bear.,attentiveness,none,none,none,brave,none,none,none,happy,to be a bear
the polar bear is shining the statue is behind a rope.,attentiveness,none,none,none,brave,none,none,none,happy,to get a reward
the other boy is looking at the boy.,attentiveness,none,none,to talk to personx,curious,none,to be noticed,none,curious,to talk to the boy
the other is looking confused.,attentiveness,none,none,none,confused,gets confused,none,none,confused,to ask questions
the boy is touching a polar bear display.,attentiveness,none,none,none,curious,gets bitten,none,none,happy,to get away
the kids are at the art muslim.,attentiveness,none,none,none,religious,none,none,none,happy,to learn more about the art
there s a robe around the polar bear display.,attentiveness,none,none,none,brave,gets yelled at,to be a showoff,none,happy,to be a leader
the stand says do not touch.,attentiveness,none,none,none,stubborn,none,to be alone,none,good,to leave
