sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is at the carnival.,politeness,none,none,none,fun,gets dirty,to have fun,to buy tickets,happy,to have fun
the boy is in a booth.,politeness,none,none,none,curious,none,to eat,to go to the booth,happy,to eat
the booth has colorful teddy bears.,politeness,none,none,none,childish,gets dirty,to have fun,none,happy,to have fun
there is a blue balloon behind the boy.,politeness,none,none,none,playful,none,none,none,happy,to play with the blue balloon
the boy is pointing upwards.,politeness,none,none,none,curious,gets yelled at,to show off,none,happy,to show off
the boy is looking to the right.,politeness,none,none,none,curious,none,to be informed,none,happy,to find the right thing
the boy is looking serious.,politeness,none,none,none,serious,none,none,none,serious,to be serious
the boy s eyes are squinting.,politeness,none,none,none,blind,none,none,none,annoyed,to see better
the boy is at the fair.,politeness,none,none,none,happy,gets dirty,to have fun,to go to the fair,happy,to go home
there are colorful bears in front of the boy.,politeness,none,none,to run away,silly,gets hit,none,none,happy,to run away
there is a cotton candy stand.,politeness,none,none,none,addicted,none,to be a good citizen,none,happy,to make money
