sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy sitting on a couch reading a book.,respect,none,none,none,young,gets a book,to learn,to be reading,happy,to read
a distance away his father and his siblings are sitting at the table playing a game.,respect,none,none,none,lonely,none,to be alone,to be in a game,sad,to play a game
the mother is standing behind the fathers chair with her hands on her hips.,respect,none,none,none,active,gets yelled at,to be in charge,none,happy,to walk
the mother is frowning.,respect,none,none,none,angry,none,none,none,sad,to cry
the kids at the table are smiling.,respect,none,happy,to have fun,happy,none,none,none,happy,to have a good time
the father is smiling.,respect,none,none,none,happy,none,none,none,happy,to be happy
the boy sitting on the couch is grinning.,respect,none,none,none,happy,none,none,none,happy,to laugh
the boy on the couch is resting his arm.,respect,none,none,none,tired,none,to rest,to be in bed,rested,to sleep
there is a blanket behind the door.,respect,none,none,none,lazy,none,none,none,tired,to sleep
there is a lamp hanging over the boy.,respect,none,none,none,powerful,none,none,none,happy,to be a lamp holder
