sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is holding a phone.,politeness,none,none,none,curious,none,to be helpful,none,happy,to talk
the girl is wearing a hat.,politeness,none,none,none,secretive,gets yelled at,to be fashionable,none,happy,to look different
the boy has his hand on his hip.,politeness,none,none,none,curious,none,to be noticed,none,nervous,to get up
there is tape on the table.,politeness,none,none,none,interested,none,to record something,to have a tape player,happy,to record the tape
the boy is standing up.,politeness,none,none,none,active,gets hurt,to get up,none,good,to go to the bathroom
the girl is standing up.,politeness,none,none,none,brave,gets hurt,to get up,none,happy,to go out
there is a boy on a phone with his hand on his hip.,politeness,none,none,none,curious,none,to be heard,none,happy,to talk
some distance away a girl is standing behind a counter.,politeness,none,none,none,sneaky,none,none,none,happy,to get away
the girl is smiling.,politeness,none,happy,none,friendly,none,none,none,happy,to kiss her
she is wearing a blue cap and a yellow and blue shirt.,politeness,none,none,none,trendy,gets laughed at,to be fashionable,to put on a blue shirt,happy,to look good
