sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys.,cleanliness,none,none,none,young,none,none,none,happy,to grow up
they are on a camping trip.,cleanliness,none,none,none,adventurous,gets cold,to have fun,to pack up their stuff,happy,to go camping
the first boy is sitting on one of the cots next to his duffel bag.,cleanliness,none,none,none,lazy,gets dirty,to sleep,to walk to the tent,tired,to sleep
the duffel bag is opened and the boy is throwing flip flops and socks to the floor.,cleanliness,none,none,none,careless,throws the bag away,to play,to pick up the bag,happy,to run away
the second boy is standing outside the tent with his bag and sleeping bag.,cleanliness,none,none,none,sneaky,none,to be outdoors,to be outside,happy,to go inside
the boy is frowning.,cleanliness,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
"the other cot has a rolledup sleeping bag , shirt , and pants on it.",cleanliness,none,none,none,lazy,none,to be comfortable,to be sleeping,tired,to sleep
the other boy has a stick in his hand.,cleanliness,none,none,none,playful,none,to play,none,happy,to play with the stick
there is another tent across from the boys.,cleanliness,none,none,to go camping,outdoorsy,none,none,to go to the woods,happy,to go camping
there is some in the back fixing up their cot.,cleanliness,none,none,none,helpful,gets tired,to be helpful,to get a spare,tired,to get a new one
