sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are some kids in the class.,humility,none,none,to listen to personx,young,none,none,none,happy,to learn
the boy is holding a paper up in the air.,humility,none,none,none,curious,gets yelled at,to show off,none,happy,to read the paper
the paper has a grade on it.,humility,none,none,none,intelligent,gets a good grade,none,to study,smart,to pass the class
the boy is smiling at the other boy.,humility,none,happy,to smile back,friendly,none,none,none,happy,to smile back
the boy is pointing towards the paper.,humility,none,none,none,curious,none,to be noticed,none,satisfied,to write something down
the other boy is looking at the boy.,humility,none,none,to talk to personx,curious,none,to be noticed,none,curious,to talk to the boy
the other boy is frowning at the boy.,humility,none,none,to get away from personx,mean,none,none,none,annoyed,to say something
the girl is looking at the boy.,humility,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the girl is holding her book next to her chest.,humility,none,none,none,nervous,none,to hide something,to be holding a book,happy,to read
the girl is frowning at the boy.,humility,none,none,to avoid him,annoyed,none,none,none,annoyed,to say something
the boy in green is smiling.,humility,none,none,none,friendly,none,none,none,happy,to smile
the boy in green is pointing at his paper.,humility,none,none,none,curious,none,to be noticed,none,happy,to show off his paper
the kids are at school.,humility,none,none,none,responsible,none,none,to be at school,happy,to play
the girl is holding a red book.,humility,none,none,none,studious,none,to read,none,happy,to read
