sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy and his father and a boy in a green hoodie.,assistiveness,none,none,none,young,none,none,none,happy,to grow up
the boy in the green hoodie is sitting on a rock and sweating.,assistiveness,none,none,none,sweaty,gets dirty,none,none,tired,to get a drink
he is reaching for a bottle of water that the boy is handing to him.,assistiveness,none,none,none,helpful,gets a kiss,to be helpful,to be near the boy,satisfied,to drink
the father is standing to the side with his hands on his hips.,assistiveness,none,none,none,active,none,to be in charge,none,happy,to walk away
the father is frowning.,assistiveness,none,none,none,angry,none,none,none,upset,to cry
the boy across the other rock has two water bottles in his hands.,assistiveness,none,none,none,greedy,none,to have a drink,to have a bottle,happy,to drink the water
the boy in the orange is holding a water bottle towards the boy.,assistiveness,none,none,none,helpful,none,to be helpful,to grab the bottle,happy,to give the bottle back
there are other people on the rocks in the background.,assistiveness,none,none,none,present,none,none,none,happy,to be heard
the father has a bookbag on his back.,assistiveness,none,none,none,prepared,none,to be prepared,to have a book,happy,to keep the book safe
the boy in the green has one hand on the rock.,assistiveness,none,none,none,curious,none,to be safe,none,happy,to get it back
