sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are a dog and a boy in a car.,law-abiding,none,none,none,playful,gets licked,none,none,happy,to play with the dog
the car is green.,law-abiding,none,none,none,healthy,none,none,none,happy,to get a new car
the dog is grinning.,law-abiding,none,none,none,happy,none,none,none,happy,to smile
the boy is grinning.,law-abiding,none,none,none,happy,none,none,none,happy,to smile
the dog is driving the car.,law-abiding,none,none,none,careful,gets tired,to get somewhere,to get in the car,happy,to get to their destination
the dog has his paws on the steering wheel.,law-abiding,none,none,none,careless,gets into car accident,to be in control,none,nervous,to drive the car
the boy has his head sticking out the window.,law-abiding,none,none,none,curious,gets yelled at,to see something,none,nervous,to get out of the window
the boy s hair is in the air.,law-abiding,none,none,none,playful,gets yelled at,none,none,happy,to get a haircut
the car is going fast.,law-abiding,none,none,none,reckless,gets pulled over,to get somewhere,to be driving,rushed,to get to their destination
there is smoke behind the car.,law-abiding,none,none,none,careless,none,none,none,sad,to get out of the car
the friends are at school.,law-abiding,none,none,none,social,none,to be social,to go to school,happy,to go to school
