sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys and one girl.,friendliness,none,none,none,young,none,none,none,happy,to have a baby
"the boy and the girl are dressed in coats , hats , scarves and gloves.",friendliness,none,none,none,cold,none,to be warm,to go to the store,cold,to go outside
the second boy only has a jacket.,friendliness,none,none,none,cold,none,to be warm,none,warm,to go to the store
there is snow on the ground.,friendliness,none,none,none,cold,none,none,none,cold,to get a blanket
the first boy is rolling a snow ball on the ground.,friendliness,none,none,none,playful,gets dirty,to have fun,to go outside,happy,to play with the snow balls
the girl is holding a smaller snow ball in her hand.,friendliness,none,none,none,playful,gets hit by snow,to play,to pick up the snow,happy,to play with the snow ball
the kids are playing in the snow.,friendliness,none,none,none,playful,gets cold,to have fun,to go outside,happy,to have fun
the boy in the jacket is frowning.,friendliness,none,none,none,mean,none,none,none,annoyed,to get away from the boy
the boy in the jacket is looking at the kids.,friendliness,none,none,none,curious,none,to be a good parent,none,happy,to talk to the kids
the snow ball is very big.,friendliness,none,none,none,playful,gets exercise,none,none,happy,to play with it
