sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy.,cleanliness,none,none,none,young,none,none,none,happy,to grow up
in front of hm is a drawer.,cleanliness,none,none,none,sneaky,none,to be a drawer,none,satisfied,to get a new job
"on top of the dresser is a stack of clothes , earphones and a phone hooked up.",cleanliness,none,none,none,annoying,none,none,to the phone,happy,ready to play
the first shelf is open and the boy is placing some folded shirts inside.,cleanliness,none,none,none,organized,none,to be organized,none,happy,to put the shirts in the box
behind the boy is a bed.,cleanliness,none,none,none,caring,none,none,none,happy,to sleep
on the bed is a stack of folded clothes.,cleanliness,none,none,none,dirty,none,none,none,tired,to fold the clothes
on the floor is a rolled up pair of socks.,cleanliness,none,none,none,dirty,none,none,none,embarrassed,to get up
on the top of the stacks of clothes there are some rolledup socks.,cleanliness,none,none,none,careless,none,none,none,happy,to get rid of them
the laundry basket has clothes in it.,cleanliness,none,none,none,dirty,none,to be clean,to have laundry,dirty,to clean up
the opened drawer has clothes.,cleanliness,none,none,none,curious,none,to find something,to go to the drawer,curious,to put them in the drawer
