sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are plates are on the table.,friendliness,none,none,none,hungry,none,none,to have food,full,to eat
forks are on the table.,friendliness,none,none,none,hungry,none,to eat,none,hungry,to eat
the boy in the green shirt is smiling.,friendliness,none,none,none,friendly,none,none,none,happy,to be a good friend
the boy is holding balloons.,friendliness,none,none,none,playful,gets dirty,to have fun,to buy balloons,happy,to give them to the boy
they are at a birthday party.,friendliness,none,happy,none,social,gets presents,to have fun,to buy a gift,happy,to have fun
there is a boy.,friendliness,none,none,none,young,none,none,none,happy,to grow up
he is standing up from a table.,friendliness,none,none,none,active,gets tired,to get up,to be standing up,tired,to leave
on the table there is a blue tablecloth that reads happy birthday.,friendliness,none,none,none,thoughtful,none,to be a good friend,none,happy,to eat
there are plates of cake in front of the boy.,friendliness,none,happy,to eat the cake,generous,gets dirty,to eat,to buy cake,happy,to eat the cake
there are also little table weights with balloons attached to it.,friendliness,none,none,none,fat,none,none,none,happy,to get a balloon
he is looking up at a boy who is standing in front of an open door waving.,friendliness,none,none,to say hello,friendly,smiles,to be noticed,none,happy,to say hello
the boy at the table is grabbing some balloons from the middle of the table.,friendliness,none,none,none,excited,gets yelled at,to have fun,to go to the table,happy,to throw them
the boy is smiling.,friendliness,none,none,none,friendly,none,none,none,happy,to smile
