sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is smiling.,cleanliness,none,none,none,friendly,none,none,none,happy,to smile
the boy is on his knees.,cleanliness,none,none,none,caring,none,to be respectful,none,happy,to propose
the man is standing up.,cleanliness,none,none,none,active,gets hurt,to stand up,none,good,to leave
the man smiling.,cleanliness,none,none,none,friendly,none,none,none,happy,to smile
the boy is putting books on display stands.,cleanliness,none,none,none,organized,none,to display something,none,satisfied,to display the books
there is a green couch behind him.,cleanliness,none,none,none,comfortable,none,none,none,happy,to sit down
there is a book on the couch.,cleanliness,none,none,none,intellectual,none,none,to sit down,interested,to read
beside the couch there is a poster that says ready set read.,cleanliness,none,none,none,curious,none,to be entertained,to buy a poster,happy,to sit down
the boy is putting books on display stands.,cleanliness,none,none,none,organized,none,to display something,none,satisfied,to display the books
there is a green couch behind him.,cleanliness,none,none,none,comfortable,none,none,none,happy,to sit down
there is a book on the couch.,cleanliness,none,none,none,intellectual,none,none,to sit down,interested,to read
beside the couch there is a poster that says ready set read the boy is putting.,cleanliness,none,none,none,interested,none,to be a good listener,to have a poster,none,to be entertained
there is a green couch behind him.,cleanliness,none,none,none,comfortable,none,none,none,happy,to sit down
there is a book on the couch.,cleanliness,none,none,none,intellectual,none,none,to sit down,interested,to read
beside the couch there is a poster that says ready set read.,cleanliness,none,none,none,curious,none,to be entertained,to buy a poster,happy,to sit down
