sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are people at a party.,respect,none,happy,none,social,none,to have fun,to go to the party,happy,to have fun
there are party decorations everywhere.,respect,none,none,none,festive,gets dirty,to decorate,to buy decorations,happy,to have fun
the boy in the white shirt is looking is at the boy in the light blue shirt.,respect,none,none,none,observant,none,none,none,happy,to ask the boy questions
the boy in the light blue shirt is holding a cake.,respect,none,none,none,curious,gets dirty,to eat,to be wearing a blue shirt,happy,to eat the cake
the boy in the white shirt is smiling.,respect,none,none,none,happy,none,none,none,happy,to say hello
the boy in the light blue shirt is smiling.,respect,none,none,none,happy,none,none,none,happy,to be a good friend
the mom is sitting at the table.,respect,none,none,none,hungry,eats,to eat,to walk to the table,happy,to eat
two boys are standing around the dessert table.,respect,none,none,none,hungry,gets dirty,to eat,to be hungry,happy,to eat
there are cupcakes and cakes on the table.,respect,none,none,none,hungry,eats,none,to bake cupcakes,full,to eat
the mom is looking at the two boys.,respect,none,none,none,curious,none,to see them,none,happy,to give them a hug
the mom s hands are placed by the chocolate cake.,respect,none,none,none,greedy,gets dirty,none,to be hungry,happy,to eat the cake
the boy in the red is looking at the mom.,respect,none,none,to talk to personx,curious,none,to see his mother,none,curious,to talk to the mom
the boy is smiling.,respect,none,none,none,friendly,none,none,none,happy,to smile
the boy in the blue shirt is looking at the cakes.,respect,none,none,none,curious,gets hungry,to eat,none,happy,to eat the cakes
the boy in the green shit has his hands on his chin.,respect,none,none,none,careless,gets dirty,none,none,embarrassed,to get away
everyone is outside in the back yard.,respect,none,none,none,active,gets exercise,to play,to go outside,happy,to go back inside
the cupcakes on the table are pink.,respect,none,none,none,happy,gets dirty,none,to bake cupcakes,happy,to eat cupcakes
the lady behind the table is smiling.,respect,none,none,none,friendly,none,none,none,happy,to make a friend
the boys are standing up smiling at the lady.,respect,none,happy,to smile back,friendly,none,to be funny,none,happy,to say hello
