sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy and a girl sitting at a table.,cooperation,none,none,none,young,gets a kiss,none,none,happy,to eat
"on the table are plates of spaghetti , salad , cups and eating utensils.",cooperation,none,none,none,hungry,none,to eat,to have a fork,full,to eat
the boy is holding a basket of rolls.,cooperation,none,none,none,playful,none,to play,none,happy,to put the rolls in the basket
he is holding one of the rolls out to the girl sitting beside him.,cooperation,none,happy,to thank personx,friendly,gets a kiss,to be helpful,to be near the girl,happy,to make the girl laugh
the girl is holding up her hand and frowning.,cooperation,none,none,none,mean,gets yelled at,to show her disapproval,none,annoyed,to show off
there are salt and pepper holders on the table.,cooperation,none,none,none,hungry,none,none,to buy salt,satisfied,to eat
the girl is looking at the boy.,cooperation,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the boy is looking at the girl.,cooperation,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to ask her out
the boy is grinning at the girl.,cooperation,none,happy,to smile,happy,none,none,none,happy,to say hello
the boy has a bread roll on his plate.,cooperation,none,none,none,hungry,gets dirty,to eat,to buy bread,full,to eat
