sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is wiping the dog off.,humility,none,none,none,caring,gets dirty,to be helpful,to get a towel,happy,to clean up
the dog is dirty.,humility,none,none,none,dirty,gets dirty,none,none,dirty,to clean up
there boy is sitting next the dog.,humility,none,none,none,caring,gets licked,to be close to the dog,to walk to the dog,happy,to play with the dog
the dog has his tongue out.,humility,none,none,none,aggressive,gets licked,to be mean,none,guilty,to get a dog
the dog is white.,humility,none,none,none,white,none,none,none,happy,to feed the dog
they are sitting on the front porch.,humility,none,none,none,relaxed,gets cold,to be alone,to walk to the porch,relaxed,to go inside
they are in front of a blue door.,humility,none,none,none,curious,none,none,none,nervous,to open the door
he is.,humility,none,none,none,determined,none,to be a good person,none,happy,to get a drink
wiping off the dog with an orange and yellow rag.,humility,none,none,none,careless,gets dirty,to be rid of the dog,to pick up the dog,relieved,to clean up the mess
the boy is smiling.,humility,none,none,none,friendly,none,none,none,happy,to smile
