sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy and dad in the garden.,assistiveness,none,none,none,caring,gets dirty,to have fun,to go to the garden,happy,to grow a garden
the boy watches the dad cut the bush.,assistiveness,none,none,none,observant,gets dirty,to be a good boy,to be in the bush,happy,to get a knife
the boy has on gloves.,assistiveness,none,none,none,careful,none,to be warm,to get the gloves,warm,to put the gloves on
the boy has a blue water bottle in his hands.,assistiveness,none,none,none,thirsty,none,to have a drink,to have a bottle,happy,to drink the water
the boy is paying attention.,assistiveness,none,none,none,attentive,learns something,to learn,none,happy,to learn more
the boy is smiling.,assistiveness,none,none,none,friendly,none,none,none,happy,to smile
the dad is showing the boy how to cut the bush.,assistiveness,none,none,none,helpful,gets scolded,to be helpful,to get the knife,happy,to teach the boy how to cut the bush
the dad has on gloves.,assistiveness,none,none,none,careful,none,to be warm,to buy gloves,warm,to put the gloves on
the dad is looking at the boy.,assistiveness,none,none,none,curious,none,to be noticed,none,happy,to talk to the boy
the dad has scissors in his hands.,assistiveness,none,none,none,prepared,gets cut,to be prepared,to have a knife,nervous,to cut the grass
the father is cutting the bushes.,assistiveness,none,none,none,helpful,gets dirty,to be helpful,to get a knife,accomplished,to clean up
the boy and his father are outside.,assistiveness,none,none,to go to the park,curious,none,to be with his father,to go outside,happy,to play
the boy is holding a water bottle.,assistiveness,none,none,none,careful,none,to drink water,to grab the bottle,happy,to drink water
the boy is smiling.,assistiveness,none,none,none,friendly,none,none,none,happy,to smile
