sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there kids at a movie theatre.,respect,none,none,none,entertained,gets bored,to be entertained,to buy tickets,happy,to go home
the boy in the green shirt is looking at the girl in pink.,respect,none,none,to smile,curious,gets a kiss,none,none,happy,to ask her out
the boy in green is smiling at the girl.,respect,none,happy,to smile back,friendly,none,none,none,happy,to say hello
the boy is pointing at something.,respect,none,none,none,curious,none,to be noticed,none,curious,to tell them something
the boy has a cup in his hand.,respect,none,none,none,thirsty,none,to drink,to have a cup,happy,to drink the water
the boy in the orange shirt is looking at the boy in the green shirt.,respect,none,none,none,curious,none,none,none,interested,to ask the boy a question
the boy in the orange shirt is frowning at the boy in the green shirt.,respect,none,none,none,mean,none,none,none,annoyed,to tell the boy to stop staring
the boy in the blue shirt is frowning the boy in the blue shirt has a cup.,respect,none,none,none,mean,none,to be a good friend,none,happy,to drink the juice
the girl in pink shirt is looking forward.,respect,none,none,none,excited,none,none,none,happy,to go out
the girl in the pink shirt has popcorn in her hands.,respect,none,none,none,hungry,gets dirty,to eat,to buy popcorn,happy,to eat
