sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a girl on stage.,respect,none,none,none,beautiful,gets a date,none,to be a performer,happy,to perform
she is holding a microphone and is saying something into it.,respect,none,none,none,commanding,gets yelled at,to be heard,to be in a meeting,heard,to get attention
on the side of the stage are three boys.,respect,none,none,none,talented,none,none,to be in a band,happy,to get a drink
the first boy is sitting in the chair.,respect,none,none,none,bored,gets scolded,to sit down,to walk to the chair,happy,to get up
he is leaning over and has his hands over his face and is frowning.,respect,none,none,none,mean,gets yelled at,to hide something,none,embarrassed,to hide
the second boy is up and.,respect,none,none,none,young,none,none,none,happy,to go to school
is whispering something to the third.,respect,none,none,to listen,secretive,none,to be secretive,none,secretive,to tell them something
the third boy is frowning and is gesturing to the side of him.,respect,none,none,to listen to personx,rude,none,to show his anger,none,annoyed,to tell them something
the girl is looking at the boys.,respect,none,none,to talk to personx,curious,gets a kiss,to be noticed,none,interested,to flirt
the girl is playing the guitar.,respect,none,none,none,musical,gets a sore throat,to be entertained,to buy a guitar,happy,to play guitar
they are having a talent show.,respect,none,none,none,talented,gets applauded,to be famous,to have a talent show,proud,to show off their talent
there are other people watching the show.,respect,none,none,none,observant,gets yelled at,to be entertained,to turn on the tv,entertained,to watch the show
