sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the dad is reading a book.,attentiveness,none,none,none,intellectual,learns something,to learn,to open the book,happy,to read
the boy is looking down.,attentiveness,none,none,none,curious,none,to be alone,none,curious,to get up
the dad is looking at the boy.,attentiveness,none,none,none,curious,none,to be noticed,none,happy,to talk to the boy
the dad has one eyebrow raised.,attentiveness,none,none,none,curious,none,none,none,curious,to ask for a date
the boy has his hand on his face.,attentiveness,none,none,none,scared,gets slapped,to be noticed,none,embarrassed,to run away
they are at an office.,attentiveness,none,none,none,busy,none,to be in charge,to go to the office,happy,to get a promotion
the boy and his father is in the library.,attentiveness,none,none,none,curious,none,to read,to go to the library,happy,to read
the boy is frowning.,attentiveness,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the father is frowning.,attentiveness,none,none,none,angry,none,none,none,upset,to cry
there is a lady sitting behind the corner.,attentiveness,none,none,none,quiet,none,none,none,happy,to be seen
