sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the kids are painting a mural.,attentiveness,none,none,none,creative,gets dirty,to decorate,to buy paint,happy,to paint another mural
the boy is looking at the girl.,attentiveness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to ask her out
the boy has a paintbrush in his hand.,attentiveness,none,none,none,helpful,gets dirty,to paint,none,happy,to paint
the boy has his other hand on his chin.,attentiveness,none,none,none,curious,none,to be noticed,none,nervous,to ask for a date
the girl is looking at the boy.,attentiveness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the girl has a paint can in her hands.,attentiveness,none,none,none,helpful,gets dirty,to paint,to have paint can,happy,to paint
the mural has puzzle pieces painted.,attentiveness,none,none,none,creative,gets paint on their hands,none,to have a puzzle board,happy,to solve the puzzle
the other mural has flowers.,attentiveness,none,none,none,creative,none,none,none,happy,to show off
there is a teacher behind the kid s painting.,attentiveness,none,none,none,helpful,none,none,none,happy,to teach the kid
there are paint cans on the floor.,attentiveness,none,none,none,careless,none,none,none,dirty,to clean up
the boy has a paint brush in his hands.,attentiveness,none,none,none,careless,gets dirty,to paint,to get a brush,happy,to paint
the girl is looking at the boy.,attentiveness,none,none,to smile,curious,gets a kiss,to be noticed,none,happy,to flirt
the boy has his hand on his mouth.,attentiveness,none,none,none,rude,gets slapped,to be funny,none,embarrassed,to run away
there are puzzle pieces on the wall.,attentiveness,none,none,none,curious,gets a headache,none,none,confused,to solve the puzzle
