sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a police officer standing in front of his bike.,respect,none,none,none,brave,gets sweaty,to protect his bike,to be in uniform,good,to get a helmet
there are two boys and one girl standing in front of him.,respect,none,none,none,young,none,none,none,happy,to be a good son
they are all smiling.,respect,none,none,none,happy,none,none,none,happy,to be happy
one of the boys has his hand raised and the officer is gesturing towards him.,respect,none,none,to be acknowledged,commanding,none,to be in charge,none,satisfied,to get his way
there is a man standing behind the children.,respect,none,none,none,helpful,none,to be a good parent,none,happy,to be a good parent
he is also smiling.,respect,none,none,none,happy,none,none,none,happy,to smile
the boy in the green sweater has his hand behind his back.,respect,none,none,none,sneaky,none,to be safe,none,happy,to run away
there some other kids standing behind the first kids.,respect,none,none,to get to the front,helpful,none,to be a good teacher,to be a teacher,happy,to get a better view
they are also raising their hands.,respect,none,none,to ask questions,curious,gets yelled at,to be noticed,none,curious,to ask a question
the police officer has a helmet in his hand.,respect,none,none,none,protective,gets hit by car,to protect his head,to have a gun,safe,to protect his head
the police officer is wearing a uniform.,respect,none,none,none,uniform,gets arrested,to protect people,to get dressed,proud,to arrest someone
