sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys and one girl.,politeness,none,none,none,young,none,none,none,happy,to have a baby
the first boy is looking up at the sky.,politeness,none,none,none,curious,gets a tan,to see the stars,none,curious,to see the stars
in his hand is a red book with the title birds the second boy is smiling.,politeness,none,none,none,interested,none,none,none,happy,to read the book
his arms are crossed.,politeness,none,none,none,defensive,none,to be in charge,none,defensive,to be in control
the girl is frowning and looking up at the sky.,politeness,none,none,none,curious,none,to see something,none,annoyed,to look away
the boy with the book is frowning.,politeness,none,none,none,mean,none,none,none,annoyed,to read
the kids are standing next to the river.,politeness,none,none,none,friendly,gets wet,to be near the river,to walk to the river,happy,to swim
there are people on the other side of the river.,politeness,none,none,none,curious,none,none,none,happy,to go to the other side
there is a picnic table next to the tree.,politeness,none,none,none,happy,gets dirty,to have fun,to go to the picnic table,happy,to enjoy the outdoors
there is someone riding a bike.,politeness,none,none,none,athletic,gets exercise,to get exercise,to put on helmet,happy,to get exercise
