sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the kids are in history class.,humility,none,none,none,smart,none,none,to be a teacher,happy,to learn
the boy is smiling.,humility,none,none,none,friendly,none,none,none,happy,to smile
the boy looking at his graded paper.,humility,none,none,none,curious,none,to learn,none,nervous,to pass the test
the paper has a grade on it.,humility,none,none,none,intelligent,gets a good grade,none,to study,smart,to pass the class
the teacher is on her desk.,humility,none,none,none,studious,none,none,none,annoyed,to teach
the teacher is looking for something.,humility,none,none,none,curious,gets called a liar,to learn,none,frustrated,to ask for a job
the girl is standing next to the desk.,humility,none,none,none,friendly,gets yelled at,to be noticed,to walk to the desk,happy,to talk to the girl
the girl s hand is reaching for something.,humility,none,none,to get away,curious,gets excited,to be touched,none,happy,to get it
the girl s backpack is on the floor.,humility,none,none,none,careless,none,none,to pick up the backpack,happy,to run away
the boy is holding a folder.,humility,none,none,none,careful,none,to be a good citizen,none,good,to read the folder
the boy is walking away from.,humility,none,none,none,scared,none,to be alone,none,happy,to go home
the desk.,humility,none,none,none,determined,none,to get a job,none,satisfied,to get a new desk
the kids are in school.,humility,none,none,none,responsible,none,none,none,happy,to go to school
the teacher is smiling.,humility,none,none,none,friendly,none,none,none,happy,to teach
