sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy has a hand up.,cooperation,none,none,none,helpful,gets yelled at,none,none,happy,to get a job
the girl is holding is holding a lollipop.,cooperation,none,none,none,playful,gets bitten,to eat candy,to grab the lollipop,happy,to eat the lollipop
the girl is smiling.,cooperation,none,happy,none,friendly,none,none,none,happy,to kiss her
the boy is smiling.,cooperation,none,none,none,friendly,none,none,none,happy,to smile
there are people in the background.,cooperation,none,none,none,present,none,none,none,happy,to be noticed
they are at a party.,cooperation,none,none,none,social,gets drunk,to have fun,to get dressed,happy,to have fun
there is a boy and a girl.,cooperation,none,none,none,young,none,none,none,happy,to have a baby
there s banners hanging from the ceiling.,cooperation,none,none,none,careless,none,to be a leader,none,proud,to show off
there s a table with a pink tablecloth on it with cups of candy and lollipops on.,cooperation,none,none,none,careless,none,none,to buy candy,happy,to eat
the girl is holding a lollipop in one hand and in the other a cup full of.,cooperation,none,none,none,playful,none,to eat,to pick up the lollipop,happy,to put the lollipop in the cup
the girl is looking and smiling at the boy.,cooperation,none,happy,to smile back,interested,blushes,none,none,happy,to flirt
the boy is also smiling and saying something to the girl.,cooperation,none,happy,to smile,friendly,gets a kiss,to be funny,none,happy,to make her laugh
