sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy in the green shirt is holding a orange.,patience,none,none,none,curious,none,to be a good son,to pick up the boy,happy,to give the boy a gift
there is a clock on the wall.,patience,none,none,none,dedicated,none,none,none,happy,to get up
the girl in the back is frowning.,patience,none,none,none,mean,none,none,none,annoyed,to get away from the girl
all the kids are having lunch.,patience,none,none,none,generous,none,to eat,to have lunch,satisfied,to eat
the boy in the green shirt is looking at his lunch bag.,patience,none,none,none,curious,none,to eat,none,hungry,to eat
there are three boys and one girl.,patience,none,none,none,young,none,none,none,happy,to have a party
the first boy has on a green pullover jacket.,patience,none,none,none,fashionable,gets dirty,to be warm,to buy a jacket,happy,to go to the party
he is smiling and looking into his brown lunch bag.,patience,none,none,none,curious,none,to eat,none,happy,to eat
he is pushing past one of the boys walking through the door.,patience,none,none,to get past x,rude,gets yelled at,to get to the other side,to be in a hurry,annoyed,to get to the other side
the boy is tipping over.,patience,none,none,none,careless,gets dirty,none,none,sad,to get up
the other boy and girl behind him are frowning.,patience,none,none,to get away,mean,none,none,none,annoyed,to be alone
