sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is in the bathroom.,politeness,none,none,none,scared,none,to be alone,to go to the bathroom,relieved,to wash his hands
the boy is in his pajamas and a robe.,politeness,none,none,none,sleepy,gets scolded,to be comfortable,to put on pajamas,comfortable,to go to bed
the boy is looking at mom.,politeness,none,none,to talk,curious,none,to see his mother,none,happy,to talk
the boy is smiling at mom.,politeness,none,happy,to smile back,friendly,none,none,none,happy,to smile
the boy has one hand on the frame of the door.,politeness,none,none,none,careful,none,to be safe,none,good,to open the door
mom is looking at the boy.,politeness,none,none,none,curious,none,to be noticed,none,happy,to talk to the boy
mom is smiling at the boy.,politeness,none,happy,to smile back,friendly,none,none,none,happy,to say hello
mom has a mug in her hand.,politeness,none,none,none,thirsty,gets thirsty,to drink,to have a cup,happy,to drink
mom has on pajama s and a robe.,politeness,none,none,none,lazy,gets dirty,to be comfortable,to buy pajamas,comfortable,to sleep
mom is standing against the wall.,politeness,none,none,none,patient,gets hurt,to be in a better position,none,nervous,to get up
the mother and son both have on robes.,politeness,none,none,none,religious,none,to be a good mother,to buy the priests ' robes,happy,to be a good mother
the boy and his mother are in the bathroom.,politeness,none,none,none,scared,none,to be alone,to walk to the bathroom,happy,to wash their hands
the boy and his mother are both smiling.,politeness,none,happy,none,happy,none,none,none,happy,to have a good time
the mother is holding a coffee mug.,politeness,none,none,none,helpful,none,to drink,to have a cup,happy,to drink
