sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
they are in a classroom.,attentiveness,none,none,none,curious,learns something,to learn,to go to class,interested,to learn
the teacher is standing by the class board.,attentiveness,none,none,none,helpful,gets yelled at,to be a good teacher,to be a teacher,satisfied,to teach
the boy in the blue is holding a book.,attentiveness,none,none,none,curious,none,to read,none,happy,to read
the boy in the blue is standing in the front.,attentiveness,none,none,none,brave,none,none,none,happy,to get a better look
the girl is sitting at her desk.,attentiveness,none,none,none,studious,none,to be alone,none,happy,to get up
the girl has a blue book on her desk.,attentiveness,none,none,none,curious,none,none,none,happy,to read
the boy in the green is sitting at his desk.,attentiveness,none,none,none,bored,none,to be alone,none,happy,to read
the boy is frowning.,attentiveness,none,none,none,annoyed,none,none,none,annoyed,to get away from the boy
the boy has his hand on his head.,attentiveness,none,none,none,mean,gets slapped,to be noticed,none,embarrassed,to be noticed
the boy has his other hand on his bookbag.,attentiveness,none,none,none,sneaky,none,to be prepared,none,happy,to read
the boy s bookbag is wide opened.,attentiveness,none,none,none,careless,none,none,none,happy,to get the book back
the boy s bookbag is empty.,attentiveness,none,none,none,empty,none,none,none,sad,to go home
