sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the two boys are looking at each other.,assistiveness,none,none,none,curious,none,none,none,happy,to talk
the blonde hair boy is holding some cookies.,assistiveness,none,none,none,sweet,gets dirty,to eat cookies,to go to the store,happy,to eat cookies
there a bench behind them.,assistiveness,none,none,none,patient,none,to be alone,none,happy,to sit down
there are also trees behind them.,assistiveness,none,none,none,adventurous,none,none,none,happy,to get to the bottom
they are selling cookies.,assistiveness,none,none,none,hungry,gets money,to make money,to bake cookies,happy,to make money
they are in the park.,assistiveness,none,none,none,active,gets exercise,to have fun,to go to the park,happy,to go home
they are holding a bake sale for charity.,assistiveness,none,none,none,charitable,gets money,to make money,to make money,happy,to make money
the boy in the white shirt is pointing to the boy with the blonde hair.,assistiveness,none,none,to say hello,curious,none,to be noticed,to be near the boy,happy,to tell them something
he is looking at the second boy.,assistiveness,none,none,none,curious,none,to be noticed,none,interested,to talk to the boy
the second boy has his hands in his pocket.,assistiveness,none,none,none,sneaky,gets caught,to hide something,none,nervous,to hide
