sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a father and a boy in a car.,politeness,none,none,none,loving,gets a car,none,to have a baby,happy,to have a baby
the father is behind the steering wheel.,politeness,none,none,none,careful,gets into a car accident,to be in control,to be driving,nervous,to drive
he has the window pulled down and is talking to a man and his dog.,politeness,none,none,none,curious,gets yelled at,to be heard,to walk to the window,happy,to get a dog
the boy is sitting in the back seat with a crossword puzzle book in his lap.,politeness,none,none,none,bored,gets yelled at,to read,to be in the back seat,happy,to read the book
the man is smiling at the man.,politeness,none,happy,to smile back,friendly,none,none,none,happy,to say hello
the boy is looking down at the crossword puzzle.,politeness,none,none,none,curious,gets a bad grade,to solve a puzzle,none,happy,to solve the puzzle
the boy is grinning.,politeness,none,none,none,happy,none,none,none,happy,to smile
the man outside the car is looking in the car.,politeness,none,none,none,curious,gets yelled at,to see what 's inside,to open the door,curious,to get in the car
the man is smiling at the father.,politeness,none,happy,to smile back,friendly,none,none,none,happy,to say hello
the dog looking in the car.,politeness,none,none,none,curious,gets bitten,to see what 's in the car,none,curious,to get a dog
