sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there are two boys and two girls.,cooperation,none,none,none,young,none,none,none,happy,to have fun
the first boy is sitting at a table covered in newspaper.,cooperation,none,none,none,curious,gets yelled at,none,none,bored,to read the paper
there are vials of paint on the table.,cooperation,none,none,none,careless,none,none,to buy paint,happy,to clean up the mess
the boy is holding an airplane in one hand and a paintbrush in the other.,cooperation,none,none,none,curious,gets dirty,to paint,to have a brush,accomplished,to paint the plane
the boy is painting the airplane green.,cooperation,none,none,none,helpful,gets dirty,to be helpful,to buy paint,happy,to get a new coat
the second boy is holding a box of puzzles in his hand.,cooperation,none,none,none,curious,gets yelled at,to play,to pick up the box,happy,to play with the puzzles
his other hand is on the first boys shoulder.,cooperation,none,none,to get away,aggressive,none,to be close to them,to be near the other person,happy,to talk to them
they are both smiling.,cooperation,none,none,none,happy,none,none,none,happy,to smile
the two girls behind them are sitting at a table.,cooperation,none,none,none,friendly,none,to eat,to walk to the table,happy,to eat
there are boxes in front of them.,cooperation,none,none,none,active,none,none,none,sad,to move boxes
the first girl is holding a sheet of paper in her hand.,cooperation,none,none,none,curious,gets caught,to read,none,nervous,to read the paper
they are both smiling.,cooperation,none,none,none,happy,none,none,none,happy,to smile
