sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
there is a boy in his room.,cleanliness,none,none,none,young,none,none,none,happy,to play
he is dumping a basket of laundry onto the floor.,cleanliness,none,none,none,careless,gets dirty,to clean up,to pick up the laundry,tired,to clean up
behind him an ipod and an open book are laying on an unmade bed.,cleanliness,none,none,none,lazy,none,none,to go to the library,happy,to read
on the floor puzzle pieces and plastic soldiers are strewn all about on.,cleanliness,none,none,none,careless,gets dirty,none,none,confused,to clean up
a baseball and open notebook that says homework write poem on it are also lying on.,cleanliness,none,none,none,thoughtful,none,to write,none,happy,to write a poem
the sock is falling out of the basket.,cleanliness,none,none,none,clumsy,gets hurt,none,none,sad,to get up
there is a lamp above his bed.,cleanliness,none,none,none,lazy,none,none,none,happy,to sleep
the other page in the notebook has scribble.,cleanliness,none,none,none,clumsy,none,none,none,happy,to write a note
there is a cup sitting on top of the dresser.,cleanliness,none,none,none,lazy,none,none,none,happy,to clean up
there is a baseball glove on top of the dresser.,cleanliness,none,none,none,athletic,gets exercise,to be a professional baseball player,to be in a baseball field,happy,to play baseball
the first dresser has clothes poking out.,cleanliness,none,none,none,careless,gets yelled at,to be noticed,none,embarrassed,to clean up
