sentence,principle,oEffect,oReact,oWant,xAttr,xEffect,xIntent,xNeed,xReact,xWant
the boy is sitting on a couch and holding a video game controller.,attentiveness,none,none,none,bored,gets yelled at,to be entertained,to be playing,happy,to play the game
the man is standing up.,attentiveness,none,none,none,active,gets hurt,to stand up,none,good,to leave
there is a lamp on the side table.,attentiveness,none,none,none,bright,none,none,none,happy,to get a lamp
the man has a hand on his hip.,attentiveness,none,none,none,caring,none,to be helpful,none,happy,to get a massage
the boy is wearing a green shirt.,attentiveness,none,none,none,fashionable,gets complimented,to be warm,to put on the shirt,happy,to go out
there is a boy sitting in front of the tv.,attentiveness,none,none,none,young,none,to be entertained,to go to the tv,happy,to watch a movie
he is smiling and pumping his fists into the.,attentiveness,none,none,none,playful,none,to express anger,none,happy,to be a bully
air.,attentiveness,none,none,none,determined,none,to be a good friend,none,happy,to get a drink
the father is standing some distance behind him the father is frowning.,attentiveness,none,none,none,apprehensive,none,none,none,sad,to walk
he has one hand on his hip and he is holding something in the other.,attentiveness,none,none,none,aggressive,gets yelled at,to be careful,none,happy,to get it
